input_value,host,verdict,passed_checks,total_checks,failed_checks,pass_rate,dns_ok,resolved_ips,tcp_53_ok,tcp_53_elapsed_ms,tcp_53_banner,tcp_53_error,tcp_80_ok,tcp_80_elapsed_ms,tcp_80_banner,tcp_80_error,tcp_443_ok,tcp_443_elapsed_ms,tcp_443_banner,tcp_443_error,tcp_25_ok,tcp_25_elapsed_ms,tcp_25_banner,tcp_25_error,tcp_587_ok,tcp_587_elapsed_ms,tcp_587_banner,tcp_587_error,tcp_465_ok,tcp_465_elapsed_ms,tcp_465_banner,tcp_465_error,http_ok,http_status,http_elapsed_ms,http_server,http_title,http_error,https_ok,https_status,https_elapsed_ms,https_server,https_title,https_error
51.38.113.4,51.38.113.4,PASS_WITH_WARNINGS,8,9,1,88.89,True,51.38.113.4,True,198,,,True,208,,,True,225,,,True,410,220 2ol.pw Burp Collaborator Server ready,,True,428,220 2ol.pw Burp Collaborator Server ready,,False,701,,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch, certificate is not valid for '51.38.113.4'. (_ssl.c:992)",True,200,389,Burp Collaborator https://burpcollaborator.net/,,,True,200,990,Burp Collaborator https://burpcollaborator.net/,,
172.237.80.9,172.237.80.9,PASS_WITH_WARNINGS,7,9,2,77.78,True,172.237.80.9,False,6010,,timed out,True,342,,,True,345,,,True,704,220 oscar.pt3.io Burp Collaborator Server ready,,True,669,220 oscar.pt3.io Burp Collaborator Server ready,,False,1867,,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch, certificate is not valid for '172.237.80.9'. (_ssl.c:992)",True,200,684,Burp Collaborator https://burpcollaborator.net/,,,True,200,1567,Burp Collaborator https://burpcollaborator.net/,,
162.55.59.194,162.55.59.194,PASS_WITH_WARNINGS,7,9,2,77.78,True,162.55.59.194,False,6012,,timed out,True,202,,,True,270,,,True,454,220 burpcollab.binsec.com Burp Collaborator Server ready,,True,521,220 burpcollab.binsec.com Burp Collaborator Server ready,,False,754,,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch, certificate is not valid for '162.55.59.194'. (_ssl.c:992)",True,200,1426,Burp Collaborator https://burpcollaborator.net/,,,True,200,2211,Burp Collaborator https://burpcollaborator.net/,,
91.120.23.153,91.120.23.153,PASS_WITH_WARNINGS,7,9,2,77.78,True,91.120.23.153,False,3166,,[WinError 10061] 由于目标计算机积极拒绝，无法连接。,True,297,,,True,210,,,True,419,220 golnk.xyz Burp Collaborator Server ready,,True,421,220 golnk.xyz Burp Collaborator Server ready,,False,522,,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch, certificate is not valid for '91.120.23.153'. (_ssl.c:992)",True,200,1628,Burp Collaborator https://burpcollaborator.net/,,,True,200,1127,Burp Collaborator https://burpcollaborator.net/,,
138.68.114.237,138.68.114.237,PASS_WITH_WARNINGS,7,9,2,77.78,True,138.68.114.237,False,3258,,[WinError 10061] 由于目标计算机积极拒绝，无法连接。,True,242,,,True,237,,,True,490,220 bc.pingback.zone Burp Collaborator Server ready,,True,473,220 bc.pingback.zone Burp Collaborator Server ready,,False,1215,,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch, certificate is not valid for '138.68.114.237'. (_ssl.c:992)",True,200,522,Burp Collaborator https://burpcollaborator.net/,,,True,200,1255,Burp Collaborator https://burpcollaborator.net/,,
34.145.238.24,34.145.238.24,FAIL,6,9,3,66.67,True,34.145.238.24,False,3385,,[WinError 10061] 由于目标计算机积极拒绝，无法连接。,True,268,,,True,282,,,True,6303,,,True,4016,220 x9.to Burp Collaborator Server ready,,False,6417,,_ssl.c:975: The handshake operation timed out,True,200,3601,Burp Collaborator https://burpcollaborator.net/,,,False,,6502,,,"HTTPSConnectionPool(host='34.145.238.24', port=443): Read timed out. (read timeout=6.0)"
172.105.159.243,172.105.159.243,PASS_WITH_WARNINGS,7,9,2,77.78,True,172.105.159.243,False,3232,,[WinError 10061] 由于目标计算机积极拒绝，无法连接。,True,251,,,True,245,,,True,498,220 burpcollaborator.spiral-sec.com Burp Collaborator Server ready,,True,643,220 burpcollaborator.spiral-sec.com Burp Collaborator Server ready,,False,795,,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch, certificate is not valid for '172.105.159.243'. (_ssl.c:992)",True,200,504,Burp Collaborator https://burpcollaborator.net/,,,True,200,1417,Burp Collaborator https://burpcollaborator.net/,,
165.227.26.79,165.227.26.79,PASS_WITH_WARNINGS,7,9,2,77.78,True,165.227.26.79,False,6006,,timed out,True,219,,,True,216,,,True,339,220 collab.ssgllc.us Burp Collaborator Server ready,,True,332,220 collab.ssgllc.us Burp Collaborator Server ready,,False,988,,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch, certificate is not valid for '165.227.26.79'. (_ssl.c:992)",True,200,408,Burp Collaborator https://burpcollaborator.net/,,,True,200,990,Burp Collaborator https://burpcollaborator.net/,,
85.88.9.184,85.88.9.184,PASS_WITH_WARNINGS,7,9,2,77.78,True,85.88.9.184,False,6009,,timed out,True,256,,,True,193,,,True,1176,220 bcsd.digitrace.de Burp Collaborator Server ready,,True,429,220 bcsd.digitrace.de Burp Collaborator Server ready,,False,524,,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch, certificate is not valid for '85.88.9.184'. (_ssl.c:992)",True,200,401,Burp Collaborator https://burpcollaborator.net/,,,True,200,1751,Burp Collaborator https://burpcollaborator.net/,,
64.225.7.51,64.225.7.51,PASS_WITH_WARNINGS,7,9,2,77.78,True,64.225.7.51,False,6015,,timed out,True,275,,,True,243,,,True,481,220 burp.stscollabserver.com Burp Collaborator Server ready,,True,1482,220 burp.stscollabserver.com Burp Collaborator Server ready,,False,676,,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch, certificate is not valid for '64.225.7.51'. (_ssl.c:992)",True,200,484,Burp Collaborator https://burpcollaborator.net/,,,True,200,1037,Burp Collaborator https://burpcollaborator.net/,,
