输入值,主机,结论,通过项数,总项数,失败项数,通过率(%),全绿,失败项列表,DNS成功,解析IP列表,端口53成功,端口53耗时毫秒,端口53Banner,端口53错误,端口80成功,端口80耗时毫秒,端口80Banner,端口80错误,端口443成功,端口443耗时毫秒,端口443Banner,端口443错误,端口25成功,端口25耗时毫秒,端口25Banner,端口25错误,端口587成功,端口587耗时毫秒,端口587Banner,端口587错误,端口465成功,端口465耗时毫秒,端口465Banner,端口465错误,HTTP成功,HTTP状态码,HTTP耗时毫秒,HTTP服务器,HTTP标题,HTTP错误,HTTPS成功,HTTPS状态码,HTTPS耗时毫秒,HTTPS服务器,HTTPS标题,HTTPS错误
51.89.240.145,51.89.240.145,通过但有警告,7,9,2,77.78,False,tcp:53|tcp:465,True,51.89.240.145,False,3052,,[WinError 10061] 由于目标计算机积极拒绝，无法连接。,True,270,,,True,196,,,True,403,220 collab.bsidtc.com Burp Collaborator Server ready,,True,409,220 collab.bsidtc.com Burp Collaborator Server ready,,False,1005,,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch, certificate is not valid for '51.89.240.145'. (_ssl.c:992)",True,200,423,Burp Collaborator https://burpcollaborator.net/,,,True,200,1188,Burp Collaborator https://burpcollaborator.net/,,
195.154.56.193,195.154.56.193,通过但有警告,7,9,2,77.78,False,tcp:53|tcp:465,True,195.154.56.193,False,6011,,timed out,True,265,,,True,205,,,True,425,220 bc.newtechjob.com Burp Collaborator Server ready,,True,430,220 bc.newtechjob.com Burp Collaborator Server ready,,False,1497,,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch, certificate is not valid for '195.154.56.193'. (_ssl.c:992)",True,200,450,Burp Collaborator https://burpcollaborator.net/,,,True,200,1159,Burp Collaborator https://burpcollaborator.net/,,
34.233.59.171,34.233.59.171,通过但有警告,7,9,2,77.78,False,tcp:53|tcp:465,True,34.233.59.171,False,3155,,[WinError 10061] 由于目标计算机积极拒绝，无法连接。,True,226,,,True,225,,,True,467,220 burp.schellman.info Burp Collaborator Server ready,,True,452,220 burp.schellman.info Burp Collaborator Server ready,,False,543,,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch, certificate is not valid for '34.233.59.171'. (_ssl.c:992)",True,200,473,Burp Collaborator https://burpcollaborator.net/,,,True,200,1810,Burp Collaborator https://burpcollaborator.net/,,
134.122.117.86:81,134.122.117.86,通过但有警告,7,9,2,77.78,False,tcp:53|tcp:465,True,134.122.117.86,False,3228,,[WinError 10061] 由于目标计算机积极拒绝，无法连接。,True,229,,,True,285,,,True,509,220 arct.pw Burp Collaborator Server ready,,True,457,220 arct.pw Burp Collaborator Server ready,,False,693,,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch, certificate is not valid for '134.122.117.86'. (_ssl.c:992)",True,200,514,openresty/1.27.1.2,,,True,200,999,openresty/1.27.1.2,,
91.238.238.101,91.238.238.101,通过但有警告,7,9,2,77.78,False,tcp:53|tcp:465,True,91.238.238.101,False,6014,,timed out,True,248,,,True,314,,,True,866,220 burp.ninja Burp Collaborator Server ready,,True,495,220 burp.ninja Burp Collaborator Server ready,,False,700,,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch, certificate is not valid for '91.238.238.101'. (_ssl.c:992)",True,200,535,Burp Collaborator https://burpcollaborator.net/,,,True,200,2078,Burp Collaborator https://burpcollaborator.net/,,
18.190.123.1,18.190.123.1,失败,6,9,3,66.67,False,tcp:53|tcp:25|tcp:465,True,18.190.123.1,False,6012,,timed out,True,229,,,True,270,,,False,6057,,timed out,True,467,220 collaborator.securexh.com Burp Collaborator Server ready,,False,851,,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch, certificate is not valid for '18.190.123.1'. (_ssl.c:992)",True,200,1490,Burp Collaborator https://burpcollaborator.net/,,,True,200,1021,Burp Collaborator https://burpcollaborator.net/,,
51.83.99.132,51.83.99.132,通过但有警告,8,9,1,88.89,False,tcp:465,True,51.83.99.132,True,211,,,True,190,,,True,201,,,True,397,220 9bn.in Burp Collaborator Server ready,,True,503,220 9bn.in Burp Collaborator Server ready,,False,656,,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch, certificate is not valid for '51.83.99.132'. (_ssl.c:992)",True,200,1418,Burp Collaborator https://burpcollaborator.net/,,,True,200,1002,Burp Collaborator https://burpcollaborator.net/,,
57.133.99.133,57.133.99.133,通过但有警告,7,9,2,77.78,False,tcp:53|tcp:465,True,57.133.99.133,False,3200,,[WinError 10061] 由于目标计算机积极拒绝，无法连接。,True,224,,,True,221,,,True,450,220 collaborator.gmvaudit.es Burp Collaborator Server ready,,True,401,220 collaborator.gmvaudit.es Burp Collaborator Server ready,,False,731,,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch, certificate is not valid for '57.133.99.133'. (_ssl.c:992)",True,200,423,Burp Collaborator https://burpcollaborator.net/,,,True,200,1188,Burp Collaborator https://burpcollaborator.net/,,
3.231.45.135,3.231.45.135,通过但有警告,7,9,2,77.78,False,tcp:53|tcp:465,True,3.231.45.135,False,3249,,[WinError 10061] 由于目标计算机积极拒绝，无法连接。,True,227,,,True,227,,,True,457,220 bc.nhbrsec.com Burp Collaborator Server ready,,True,1860,220 bc.nhbrsec.com Burp Collaborator Server ready,,False,1180,,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch, certificate is not valid for '3.231.45.135'. (_ssl.c:992)",True,200,463,Burp Collaborator https://burpcollaborator.net/,,,True,200,998,Burp Collaborator https://burpcollaborator.net/,,
https://116.202.121.27,116.202.121.27,失败,6,9,3,66.67,False,tcp:53|tcp:587|tcp:465,True,116.202.121.27,False,6007,,timed out,True,220,,,True,195,,,True,385,220 cl.ara-sec.de Burp Collaborator Server ready,,False,6011,,timed out,False,530,,"[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: IP address mismatch, certificate is not valid for '116.202.121.27'. (_ssl.c:992)",True,200,406,Burp Collaborator https://burpcollaborator.net/,,,True,200,911,Burp Collaborator https://burpcollaborator.net/,,
